id;descrição;imagem;enunciado;resposta;resposta_errada1;resposta_errada2;resposta_errada3;tipo_de_resposta;coordenadas;shape;assunto;subassunto1;subassunto2;subassunto3;subassunto4;subassunto5
1;Isto é um platelminto em corte transversal.;acelomado_corte.png;Como se classifica este animal quanto a cavidades internas?;Acelomado;Celomado;Pseudocelomado;Sorteio;classificacao;235,164,23;circle;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;acelomados;;;
2;É do gênero Asplanchna e é pelágico.;asplanchna.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;139,200,139,234,135,257,123,279,112,290,112,300,110,312,96,314,95,331,76,334,75,355,71,372,92,378,110,371,120,369,128,371,151,351,163,341,154,327,152,313,158,300,162,286,160,278,171,275,177,266,168,253,160,247,161,238,149,245,146,209;poly;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
3;É do gênero Chaetonotus.;chaetonotus.png;De que filo é este animal?;Gastrotricha;Sorteio;Sorteio;Sorteio;filo;103,53,198,149;rect;Teste;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
4;A figura mostra duas formas de reprodução de um rotífero da classe Monogononata.;ciclo_de_monogononta.png;Como é chamada a reprodução por partenogenese mostrada no ciclo com seta escura?;Amíctica;Sorteio;Sorteio;Sorteio;forma_de_processo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
5;É uma espécie séssil chamada Collotheca ornata.;collotheca_ornata.png;De que filo é este animal?;Rotifera;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
6;É um verme marinho do gênero Echinoderes.;echinoderes_corte.png;De que filo é este animal?;Kinorhyncha;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
7;Isto é um ascaris.;espicula_copulatoria_ascaris.png;Que estrutura é essa?;Espícula copulatória;Sorteio;Sorteio;Sorteio;estrutura;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
8;Isto é a representação simplificada de uma minhoca em corte transversal.;eucelomado_corte.png;Como se classifica este animal quanto a cavidades internas?;Eucelomado;Sorteio;Sorteio;Sorteio;classificacao;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
9;Isto é a extremidade anterior de um ascaris.;extremidade_anterior_ascaris.png;Que estrutura é essa?;Lábios;Sorteio;Sorteio;Sorteio;estrutura;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
10;Animal em corte sagital para visualizarmos seu interior.;gatrotricha_corte.png;De que filo é este animal?;Gastrotricha;Sorteio;Sorteio;Sorteio;filo;-;-;Diversidade Biológica dos Protostomados;Pseudocelomados I: características gerais e filos Rotifera,Gastrotricha e Kinorhyncha;pseudocelomados;;;
